Date,Category,Subcategory,Location,Value
27/02/2016,Plumber,Choke Up,Location 9, 411.84 
29/02/2016,Plumber,"Tap, Wash basin and Sink",Location 10, 392.96 
22/03/2016,Electrician,Wiring,Location 10, 686.06 
01/05/2016,Plumber,Water Tank,Location 9, 414.73 
09/03/2016,Plumber,Bathroom Fittings,Location 1, 752.64 
26/05/2016,Pest Control,Ant Control,Location 1, 757.34 
16/06/2016,Electrician,Wiring,Location 9, 702.85 
20/06/2016,Painter,Regular Painting,Location 2, 497.39 
06/02/2016,Security,Security Guard,Location 4, 524.09 
28/05/2016,Plumber,Bathroom Fittings,Location 8, 669.33 
05/03/2016,Electrician,Light Sockets/Holders,Location 2, 309.65 
04/07/2016,Plumber,Toilet And Sanitary Work,Location 8, 877.60 
27/04/2016,Plumber,"Tap, Wash basin and Sink",Location 8, 27.20 
29/02/2016,Plumber,Toilet And Sanitary Work,Location 3, 863.32 
22/02/2016,Appliances,Coffee Machines,Location 4, 766.57 
26/02/2016,Records Management,Secure Document Destruction,Location 2, 982.59 
16/04/2016,Carpenter,Bolt And Latch,Location 7, 693.76 
27/06/2016,Appliances,Refrigerator Repair,Location 9, 991.23 
16/04/2016,Transportation,Car,Location 9, 166.28 
09/03/2016,Appliances,Refrigerator Repair,Location 7, 348.15 
28/05/2016,Plumber,"Tap, Wash basin and Sink",Location 8, 515.53 
05/05/2016,Plumber,"Tap, Wash basin and Sink",Location 3, 814.06 
06/06/2016,Plumber,"Tap, Wash basin and Sink",Location 2, 248.74 
29/03/2016,Electrician,"Switches, Meters and Fuses",Location 2, 240.44 
10/05/2016,Electronics,TV,Location 9, 875.96 
04/03/2016,Plumber,"Tap, Wash basin and Sink",Location 6, 824.32 
26/03/2016,Plumber,Bathroom Fittings,Location 9, 230.87 
24/04/2016,Plumber,Toilet And Sanitary Work,Location 4, 245.02 
04/03/2016,Carpenter,Furniture Repair/replacement,Location 4, 435.67 
31/01/2016,Electrician,"Switches, Meters and Fuses",Location 8, 186.18 
06/02/2016,Electrician,Tube Lights,Location 7, 482.23 
08/03/2016,Electrician,Light Sockets/Holders,Location 10, 672.30 
07/02/2016,Plumber,"Tap, Wash basin and Sink",Location 4, 828.52 
16/03/2016,Plumber,Bathroom Fittings,Location 10, 336.02 
07/07/2016,Carpenter,Bolt And Latch,Location 8, 866.51 
16/04/2016,Electronics,Computer,Location 5, 467.56 
29/05/2016,Carpenter,Bolt And Latch,Location 9, 297.32 
25/05/2016,Plumber,"Tap, Wash basin and Sink",Location 9, 654.87 
17/02/2016,Plumber,"Tap, Wash basin and Sink",Location 9, 740.82 
17/06/2016,Appliances,Refrigerator Repair,Location 5, 262.30 
26/04/2016,Appliances,Water Purifier,Location 6, 64.50 
10/05/2016,Plumber,Leakage,Location 10, 147.37 
12/04/2016,Appliances,Refrigerator Repair,Location 6, 411.88 
20/03/2016,Carpenter,General Carpentry Work,Location 9, 242.53 
25/06/2016,Security,Security Guard,Location 1, 508.61 
04/05/2016,Appliances,Air Conditioner (AC) Repair and Maintenance,Location 7, 370.21 
27/01/2016,Flooring,Stone & Tile Restoration,Location 2, 519.30 
07/03/2016,Electrician,Other Lights,Location 10, 696.62 
13/04/2016,Plumber,Pipelines And Pumps,Location 5, 185.54 
22/05/2016,Appliances,Refrigerator Repair,Location 3, 36.51 
18/03/2016,Pest Control,Termite Control,Location 3, 806.27 
27/01/2016,Appliances,Refrigerator Repair,Location 6, 432.54 
01/05/2016,Carpenter,Furniture Repair/replacement,Location 3, 848.60 
02/07/2016,Plumber,"Tap, Wash basin and Sink",Location 5, 658.53 
20/05/2016,Plumber,Bathroom Fittings,Location 3, 777.37 
09/03/2016,Plumber,Toilet And Sanitary Work,Location 10, 137.06 
09/03/2016,Pest Control,Rat Control,Location 4, 351.49 
31/01/2016,Appliances,Air Conditioner (AC) Repair and Maintenance,Location 5, 424.69 
13/03/2016,Plumber,Toilet And Sanitary Work,Location 3, 144.12 
25/01/2016,Carpenter,General Carpentry Work,Location 3, 964.79 
30/03/2016,Carpenter,Bolt And Latch,Location 2, 886.83 
17/06/2016,Plumber,Leakage,Location 1, 431.76 
04/03/2016,Appliances,Microwave Oven Repair,Location 3, 261.29 
31/01/2016,Flooring,Stone & Tile Restoration,Location 5, 153.63 
23/02/2016,Appliances,Air Conditioner (AC) Repair and Maintenance,Location 2, 967.78 
09/04/2016,Plumber,Choke Up,Location 3, 767.90 
08/03/2016,Appliances,Air Conditioner (AC) Repair and Maintenance,Location 5, 518.52 
13/05/2016,Plumber,Toilet And Sanitary Work,Location 7, 867.21 
27/02/2016,Plumber,Choke Up,Location 7, 611.47 
30/03/2016,Electrician,"Switches, Meters and Fuses",Location 4, 101.74 
07/02/2016,Plumber,Leakage,Location 3, 332.57 
10/05/2016,Pest Control,Bed Bug Control,Location 5, 411.97 
16/04/2016,Electrician,Other Lights,Location 2, 690.03 
14/06/2016,Plumber,"Tap, Wash basin and Sink",Location 2, 404.56 
07/03/2016,Plumber,Choke Up,Location 8, 331.59 
27/02/2016,Plumber,Toilet And Sanitary Work,Location 4, 400.90 
07/03/2016,Appliances,Water Purifier,Location 2, 700.37 
25/02/2016,Painter,Texture Painting,Location 1, 983.20 
13/06/2016,Appliances,Coffee Machines,Location 3, 54.53 
01/06/2016,Appliances,Water Purifier,Location 4, 903.70 
21/02/2016,Plumber,"Tap, Wash basin and Sink",Location 6, 301.58 
26/01/2016,Appliances,Refrigerator Repair,Location 4, 752.69 
07/07/2016,Pest Control,Mosquito Control,Location 1, 464.11 
23/05/2016,Pest Control,Cockroach Control,Location 6, 833.02 
25/03/2016,Appliances,Air Conditioner (AC) Repair and Maintenance,Location 1, 969.85 
30/06/2016,Records Management,Media Management,Location 2, 950.96 
14/02/2016,Painter,Regular Painting,Location 7, 696.95 
26/02/2016,Electrician,Tube Lights,Location 6, 545.91 
11/03/2016,Electrician,Other Lights,Location 1, 238.36 
24/04/2016,Plumber,Water Tank,Location 8, 813.46 
15/06/2016,Plumber,Leakage,Location 2, 591.87 
28/02/2016,Carpenter,Furniture Repair/replacement,Location 1, 968.22 
26/05/2016,Pest Control,Rat Control,Location 10, 283.31 
25/05/2016,Painter,Texture Painting,Location 5, 856.80 
23/05/2016,Plumber,Choke Up,Location 9, 224.14 
29/06/2016,Cleaning,Furniture and Furnishings,Location 4, 99.40 
13/04/2016,Pest Control,Wood Borer Control,Location 3, 644.61 
07/04/2016,Appliances,Water Purifier,Location 4, 544.38 
27/06/2016,Appliances,Water Purifier,Location 2, 544.56 
13/06/2016,Industrial,Escalator,Location 9, 56.85 
03/06/2016,Plumber,Bathroom Fittings,Location 7, 433.92 
27/05/2016,Electrician,"Switches, Meters and Fuses",Location 6, 588.78 
22/05/2016,Electrician,"Switches, Meters and Fuses",Location 1, 14.87 
08/05/2016,Plumber,Water Tank,Location 2, 957.79 
02/04/2016,Appliances,Water Purifier,Location 7, 977.18 
02/02/2016,Carpenter,Furniture Repair/replacement,Location 2, 581.34 
12/06/2016,Transportation,Car,Location 1, 602.89 
25/06/2016,Electrician,Wiring,Location 10, 345.96 
02/04/2016,Plumber,Choke Up,Location 9, 436.55 
28/01/2016,Carpenter,Bolt And Latch,Location 7, 145.15 
26/05/2016,Appliances,Refrigerator Repair,Location 4, 918.34 
07/06/2016,Plumber,Bathroom Fittings,Location 7, 621.33 
05/04/2016,Electronics,Mobile,Location 6, 819.17 
07/05/2016,Plumber,Leakage,Location 2, 154.71 
18/05/2016,Plumber,Bathroom Fittings,Location 4, 914.20 
05/06/2016,Electronics,Computer,Location 7, 675.49 
11/05/2016,Pest Control,Bed Bug Control,Location 9, 33.08 
18/06/2016,Electronics,Computer,Location 4, 840.99 
16/05/2016,Electrician,Fans,Location 2, 203.10 
01/02/2016,Carpenter,General Carpentry Work,Location 5, 21.28 
02/05/2016,Plumber,Choke Up,Location 2, 974.08 
17/05/2016,Industrial,Elevator,Location 7, 839.79 
11/06/2016,Electrician,Fans,Location 2, 349.56 
14/06/2016,Plumber,Choke Up,Location 6, 604.21 
25/01/2016,Carpenter,Bolt And Latch,Location 5, 991.08 
06/05/2016,Painter,Texture Painting,Location 9, 789.17 
22/05/2016,Plumber,Toilet And Sanitary Work,Location 2, 721.37 
03/06/2016,Appliances,Coffee Machines,Location 3, 863.20 
04/05/2016,Plumber,Leakage,Location 8, 711.65 
12/02/2016,Plumber,"Tap, Wash basin and Sink",Location 9, 625.96 
05/03/2016,Carpenter,Bolt And Latch,Location 5, 227.29 
11/02/2016,Electrician,"Switches, Meters and Fuses",Location 10, 440.47 
26/02/2016,Appliances,Water Purifier,Location 10, 692.96 
08/04/2016,Carpenter,Bolt And Latch,Location 2, 765.03 
27/05/2016,Pest Control,Wood Borer Control,Location 4, 160.62 
29/04/2016,Carpenter,Furniture Repair/replacement,Location 9, 73.71 
29/06/2016,Plumber,Choke Up,Location 1, 511.12 
24/01/2016,Carpenter,General Carpentry Work,Location 9, 542.47 
10/02/2016,Carpenter,Furniture Repair/replacement,Location 9, 886.73 
10/06/2016,Appliances,Refrigerator Repair,Location 6, 678.74 
17/06/2016,Painter,Regular Painting,Location 10, 164.82 
24/03/2016,Pest Control,Ant Control,Location 2, 729.44 
31/05/2016,Plumber,Choke Up,Location 7, 461.50 
09/02/2016,Appliances,Air Conditioner (AC) Repair and Maintenance,Location 7, 398.49 
09/02/2016,Carpenter,Bolt And Latch,Location 8, 449.45 
29/03/2016,Plumber,"Tap, Wash basin and Sink",Location 9, 410.25 
20/02/2016,Plumber,"Tap, Wash basin and Sink",Location 7, 32.27 
29/05/2016,Plumber,Toilet And Sanitary Work,Location 1, 172.86 
28/05/2016,Plumber,Choke Up,Location 1, 160.16 
20/06/2016,Plumber,"Tap, Wash basin and Sink",Location 5, 558.09 
07/04/2016,Carpenter,Furniture Repair/replacement,Location 7, 430.44 
25/06/2016,Carpenter,Furniture Repair/replacement,Location 6, 845.50 
21/05/2016,Appliances,Air Conditioner (AC) Repair and Maintenance,Location 1, 959.43 
04/07/2016,Plumber,Toilet And Sanitary Work,Location 2, 816.38 
10/06/2016,Transportation,Mini Tempo,Location 6, 824.74 
04/05/2016,Painter,Texture Painting,Location 6, 159.24 
04/06/2016,Appliances,UPS,Location 9, 243.04 
27/02/2016,Carpenter,Furniture Repair/replacement,Location 1, 873.81 
24/04/2016,Carpenter,Furniture Repair/replacement,Location 5, 331.23 
25/05/2016,Plumber,"Tap, Wash basin and Sink",Location 10, 416.51 
17/04/2016,Plumber,Bathroom Fittings,Location 5, 992.73 
08/05/2016,Plumber,Bathroom Fittings,Location 5, 533.84 
01/06/2016,Painter,Texture Painting,Location 6, 571.68 
10/03/2016,Electronics,TV,Location 10, 373.67 
25/06/2016,Carpenter,General Carpentry Work,Location 1, 984.94 
04/05/2016,Carpenter,General Carpentry Work,Location 1, 183.09 
12/03/2016,Transportation,Car,Location 8, 351.99 
21/05/2016,Appliances,Water Coolers,Location 7, 673.59 
04/05/2016,Carpenter,Bolt And Latch,Location 1, 922.47 
06/05/2016,Appliances,Refrigerator Repair,Location 4, 359.74 
31/03/2016,Appliances,Coffee Machines,Location 7, 207.50 
30/05/2016,Plumber,Leakage,Location 5, 448.08 
09/05/2016,Plumber,Choke Up,Location 8, 45.74 
19/05/2016,Waste Management,Disposal,Location 7, 849.58 
05/03/2016,Plumber,Pipelines And Pumps,Location 8, 67.05 
19/04/2016,Pest Control,Mosquito Control,Location 10, 237.52 
08/04/2016,Security,Security Guard,Location 4, 932.36 
21/02/2016,Plumber,Bathroom Fittings,Location 6, 415.60 
20/02/2016,Pest Control,Cockroach Control,Location 9, 649.04 
18/04/2016,Painter,Regular Painting,Location 4, 369.85 
08/06/2016,Plumber,"Tap, Wash basin and Sink",Location 5, 568.62 
10/05/2016,Electronics,Mobile,Location 9, 896.86 
15/04/2016,Appliances,Microwave Oven Repair,Location 1, 210.09 
21/06/2016,"Fire, Life, and Safety",Fire Alarm System,Location 5, 406.24 
28/01/2016,Plumber,"Tap, Wash basin and Sink",Location 2, 616.60 
20/02/2016,Carpenter,Bolt And Latch,Location 5, 165.15 
23/05/2016,Appliances,Air Conditioner (AC) Repair and Maintenance,Location 3, 183.27 
10/06/2016,Transportation,Car,Location 2, 389.30 
02/05/2016,Pest Control,Bed Bug Control,Location 10, 604.23 
15/06/2016,Electrician,Other Lights,Location 4, 239.93 
05/04/2016,Pest Control,Bed Bug Control,Location 10, 813.96 
22/06/2016,Electronics,Printer,Location 6, 733.31 
15/04/2016,Painter,Regular Painting,Location 6, 63.62 
17/03/2016,Electrician,Fans,Location 9, 823.19 
17/06/2016,Plumber,Pipelines And Pumps,Location 8, 965.81 
26/03/2016,Appliances,Air Conditioner (AC) Repair and Maintenance,Location 3, 601.11 
24/02/2016,Plumber,Bathroom Fittings,Location 6, 982.79 
06/03/2016,Appliances,Air Conditioner (AC) Repair and Maintenance,Location 3, 930.86 
30/03/2016,Appliances,Water Purifier,Location 10, 233.42 
04/05/2016,Painter,Regular Painting,Location 10, 785.83 
08/04/2016,Painter,Regular Painting,Location 3, 417.44 
10/05/2016,Carpenter,Furniture Repair/replacement,Location 2, 852.16 
27/06/2016,Electrician,Fans,Location 2, 222.72 
30/06/2016,Plumber,Bathroom Fittings,Location 1, 169.10 
08/05/2016,Plumber,"Tap, Wash basin and Sink",Location 1, 483.24 
02/06/2016,Carpenter,General Carpentry Work,Location 8, 616.71 
11/02/2016,Appliances,Dishwasher,Location 6, 228.75 
21/02/2016,Electronics,Computer,Location 10, 640.73 
09/04/2016,Pest Control,Rat Control,Location 2, 271.82 
08/05/2016,Electrician,Other Lights,Location 8, 304.47 
24/03/2016,Plumber,Bathroom Fittings,Location 7, 824.13 
12/05/2016,Carpenter,Bolt And Latch,Location 3, 426.44 
14/03/2016,Pest Control,Ant Control,Location 7, 157.67 
11/04/2016,Electrician,Other Lights,Location 3, 448.20 
01/02/2016,Plumber,Toilet And Sanitary Work,Location 1, 529.54 
21/05/2016,Plumber,Toilet And Sanitary Work,Location 6, 854.94 
21/02/2016,Electronics,Computer,Location 10, 95.56 
22/05/2016,Carpenter,Bolt And Latch,Location 5, 57.44 
26/01/2016,Electrician,"Switches, Meters and Fuses",Location 7, 250.82 
16/05/2016,Plumber,"Tap, Wash basin and Sink",Location 7, 923.61 
07/06/2016,Plumber,Leakage,Location 4, 501.36 
06/07/2016,Carpenter,Furniture Repair/replacement,Location 10, 422.27 
28/01/2016,Appliances,Air Conditioner (AC) Repair and Maintenance,Location 7, 975.01 
22/04/2016,Cleaning,Office,Location 5, 766.07 
22/02/2016,Plumber,Pipelines And Pumps,Location 2, 468.82 
12/02/2016,Plumber,Bathroom Fittings,Location 9, 876.54 
21/02/2016,Plumber,Toilet And Sanitary Work,Location 6, 506.21 
27/05/2016,Carpenter,Bolt And Latch,Location 9, 442.29 
02/06/2016,Pest Control,Termite Control,Location 10, 279.30 
25/02/2016,Pest Control,Mosquito Control,Location 7, 540.65 
20/03/2016,Plumber,Toilet And Sanitary Work,Location 1, 801.63 
24/03/2016,Industrial,Elevator,Location 9, 486.65 
26/01/2016,Plumber,"Tap, Wash basin and Sink",Location 5, 847.08 
03/07/2016,Painter,Regular Painting,Location 1, 492.91 
27/02/2016,Plumber,Choke Up,Location 6, 116.40 
25/03/2016,Electrician,"Switches, Meters and Fuses",Location 6, 593.04 
31/03/2016,Plumber,"Tap, Wash basin and Sink",Location 3, 39.33 
08/02/2016,Plumber,Pipelines And Pumps,Location 10, 38.23 
18/03/2016,Electronics,Printer,Location 5, 675.94 
20/06/2016,Electrician,Other Lights,Location 6, 864.92 
26/01/2016,Painter,Texture Painting,Location 5, 497.80 
23/03/2016,Waste Management,Recycle,Location 7, 397.57 
18/06/2016,Plumber,Leakage,Location 10, 947.45 
10/04/2016,Plumber,Choke Up,Location 3, 202.76 
22/03/2016,Appliances,Water Purifier,Location 2, 935.95 
18/04/2016,Appliances,Air Conditioner (AC) Repair and Maintenance,Location 9, 54.46 
20/04/2016,Plumber,Plumbing Electronics,Location 6, 91.81 
16/03/2016,Carpenter,Furniture Repair/replacement,Location 6, 328.43 
22/05/2016,Plumber,Bathroom Fittings,Location 5, 514.22 
18/03/2016,Lawn and Garden,Gardening,Location 10, 844.22 
22/05/2016,Plumber,Toilet And Sanitary Work,Location 8, 662.48 
21/06/2016,Carpenter,Furniture Repair/replacement,Location 7, 229.26 
27/02/2016,Appliances,Microwave Oven Repair,Location 6, 649.88 
23/03/2016,Plumber,Toilet And Sanitary Work,Location 4, 542.47 
13/02/2016,Pest Control,Rat Control,Location 4, 866.89 
08/02/2016,Carpenter,Bolt And Latch,Location 1, 888.68 
20/02/2016,Painter,Texture Painting,Location 7, 151.64 
15/04/2016,Electrician,Wiring,Location 7, 758.78 
21/05/2016,Pest Control,Cockroach Control,Location 9, 830.38 
31/03/2016,Carpenter,General Carpentry Work,Location 6, 74.17 
19/03/2016,Carpenter,General Carpentry Work,Location 9, 353.84 
26/03/2016,Electronics,Computer,Location 1, 500.73 
05/03/2016,Carpenter,Bolt And Latch,Location 6, 679.24 
15/02/2016,Carpenter,Furniture Repair/replacement,Location 10, 67.34 
05/03/2016,Electronics,Mobile,Location 10, 186.29 
26/06/2016,"Fire, Life, and Safety",Fire Extinguishers,Location 6, 351.85 
14/06/2016,Security Systems,Access Control,Location 9, 18.83 
15/04/2016,Plumber,Bathroom Fittings,Location 5, 820.95 
27/02/2016,Electrician,Other Lights,Location 6, 763.11 
19/06/2016,Plumber,Toilet And Sanitary Work,Location 2, 476.05 
05/03/2016,Lawn and Garden,Landscaping,Location 1, 674.84 
01/04/2016,Cleaning,Office,Location 1, 547.75 
18/06/2016,Plumber,Pipelines And Pumps,Location 4, 227.89 
04/07/2016,Records Management,Secure Document Destruction,Location 4, 489.98 
08/03/2016,Electrician,Wiring,Location 10, 0.23 
03/02/2016,Pest Control,Ant Control,Location 7, 777.84 
30/05/2016,Electrician,Light Sockets/Holders,Location 10, 700.69 
25/06/2016,Electrician,Fancy Lights,Location 7, 242.05 
26/04/2016,Carpenter,Bolt And Latch,Location 7, 105.76 
13/05/2016,Electronics,Computer,Location 4, 247.46 
07/05/2016,Carpenter,Furniture Repair/replacement,Location 9, 427.69 
27/06/2016,Plumber,Leakage,Location 10, 192.47 
05/02/2016,Plumber,Pipelines And Pumps,Location 5, 294.57 
24/03/2016,Painter,Texture Painting,Location 9, 712.94 
23/02/2016,Electronics,TV,Location 9, 367.48 
20/03/2016,Electrician,Tube Lights,Location 4, 929.43 
29/04/2016,Carpenter,Bolt And Latch,Location 4, 189.82 
04/04/2016,Painter,Texture Painting,Location 8, 713.43 
16/03/2016,Carpenter,Bolt And Latch,Location 6, 676.16 
26/04/2016,Electrician,Light Sockets/Holders,Location 6, 448.90 
25/05/2016,Caterer/Cook,Catering,Location 7, 97.98 
01/04/2016,Electrician,Other Lights,Location 3, 89.58 
31/05/2016,Carpenter,General Carpentry Work,Location 5, 279.57 
30/04/2016,Plumber,Bathroom Fittings,Location 6, 815.73 
14/05/2016,Pest Control,Honey Bee Control,Location 3, 145.86 
01/06/2016,Appliances,Air Conditioner (AC) Repair and Maintenance,Location 5, 68.02 
19/03/2016,Electronics,Mobile,Location 1, 722.90 
10/05/2016,Electronics,Computer,Location 4, 778.19 
14/03/2016,Plumber,"Tap, Wash basin and Sink",Location 3, 365.58 
11/06/2016,Plumber,Choke Up,Location 5, 440.98 
24/04/2016,Plumber,"Tap, Wash basin and Sink",Location 10, 856.79 
18/05/2016,Electronics,Computer,Location 7, 330.59 
25/05/2016,Carpenter,Furniture Repair/replacement,Location 6, 971.27 
03/05/2016,Electronics,Computer,Location 9, 330.53 
01/04/2016,Carpenter,Furniture Repair/replacement,Location 8, 313.48 
14/05/2016,Plumber,Choke Up,Location 9, 42.48 
24/03/2016,Electronics,Computer,Location 8, 777.43 
19/02/2016,Plumber,Leakage,Location 2, 487.27 
16/03/2016,Plumber,Bathroom Fittings,Location 9, 778.74 
25/01/2016,Electronics,Mobile,Location 8, 134.29 
12/06/2016,Pest Control,Termite Control,Location 9, 262.17 
03/02/2016,Plumber,Toilet And Sanitary Work,Location 3, 63.75 
01/03/2016,Transportation,Car,Location 7, 965.18 
29/01/2016,Appliances,Air Conditioner (AC) Repair and Maintenance,Location 9, 591.51 
28/04/2016,Lawn and Garden,Landscaping,Location 2, 319.36 
22/04/2016,Plumber,Choke Up,Location 4, 726.01 
26/02/2016,Electronics,Mobile,Location 5, 96.07 
02/04/2016,Plumber,"Tap, Wash basin and Sink",Location 10, 420.67 
24/06/2016,Appliances,Dishwasher,Location 4, 416.27 
02/02/2016,Painter,Regular Painting,Location 5, 545.12 
30/01/2016,"Fire, Life, and Safety",Fire Alarm System,Location 4, 964.95 
29/06/2016,Appliances,Air Conditioner (AC) Repair and Maintenance,Location 7, 90.76 
03/03/2016,Plumber,"Tap, Wash basin and Sink",Location 5, 338.50 
25/04/2016,Records Management,Digital Imaging,Location 1, 772.95 
08/06/2016,Appliances,Water Coolers,Location 9, 580.44 
11/05/2016,Plumber,Leakage,Location 10, 545.51 
11/03/2016,Carpenter,Bolt And Latch,Location 8, 249.80 
21/02/2016,Plumber,Choke Up,Location 9, 815.65 
01/06/2016,Electrician,Tube Lights,Location 7, 813.20 
04/05/2016,Plumber,"Tap, Wash basin and Sink",Location 2, 718.98 
05/04/2016,Plumber,Choke Up,Location 3, 469.56 
18/02/2016,Electrician,"Switches, Meters and Fuses",Location 5, 47.92 
01/07/2016,Pest Control,Mosquito Control,Location 10, 371.93 
06/02/2016,Electronics,Printer,Location 5, 655.37 
28/06/2016,Electrician,"Switches, Meters and Fuses",Location 6, 996.39 
26/05/2016,Plumber,"Tap, Wash basin and Sink",Location 8, 953.23 
23/02/2016,Electrician,Fans,Location 5, 794.31 
14/05/2016,Electronics,Mobile,Location 7, 683.34 
05/05/2016,Appliances,Air Conditioner (AC) Repair and Maintenance,Location 4, 412.62 
25/04/2016,Electrician,"Switches, Meters and Fuses",Location 4, 70.34 
19/03/2016,Electronics,Computer,Location 6, 81.92 
17/04/2016,Plumber,Choke Up,Location 8, 306.29 
10/06/2016,Painter,Regular Painting,Location 8, 689.72 
11/06/2016,Electrician,"Switches, Meters and Fuses",Location 5, 334.55 
14/05/2016,Transportation,Car,Location 1, 748.42 
12/02/2016,Pest Control,Rat Control,Location 10, 315.34 
29/04/2016,Pest Control,Termite Control,Location 1, 398.22 
29/03/2016,Painter,Texture Painting,Location 9, 373.61 
16/02/2016,Appliances,Refrigerator Repair,Location 8, 43.19 
05/02/2016,Electrician,Other Lights,Location 2, 864.35 
21/04/2016,Plumber,Choke Up,Location 10, 267.34 
22/04/2016,"Fire, Life, and Safety",Fire Extinguishers,Location 6, 589.11 
28/02/2016,Carpenter,Furniture Repair/replacement,Location 4, 596.02 
02/03/2016,Plumber,Choke Up,Location 6, 738.61 
26/05/2016,Pest Control,Rat Control,Location 9, 209.55 
30/03/2016,Painter,Texture Painting,Location 5, 479.61 
12/05/2016,Plumber,Bathroom Fittings,Location 2, 394.22 
20/02/2016,Electrician,Other Lights,Location 3, 253.75 
24/04/2016,Appliances,Dishwasher,Location 8, 379.69 
09/05/2016,Plumber,Leakage,Location 2, 469.40 
18/04/2016,"Fire, Life, and Safety",Fire Alarm System,Location 8, 498.79 
11/06/2016,Appliances,Refrigerator Repair,Location 9, 632.96 
24/01/2016,Appliances,Water Purifier,Location 7, 720.19 
25/02/2016,Plumber,Water Tank,Location 4, 568.88 
13/02/2016,"Fire, Life, and Safety",Fire Extinguishers,Location 10, 735.34 
15/03/2016,Plumber,Choke Up,Location 10, 651.93 
21/04/2016,Security,Security Guard,Location 9, 539.31 
01/05/2016,Pest Control,Rat Control,Location 5, 30.30 
28/05/2016,Transportation,Car,Location 7, 257.51 
07/04/2016,Plumber,Bathroom Fittings,Location 7, 709.98 
03/06/2016,Carpenter,General Carpentry Work,Location 8, 70.64 
12/05/2016,Painter,Regular Painting,Location 8, 871.06 
18/05/2016,Plumber,Toilet And Sanitary Work,Location 9, 679.25 
18/05/2016,Electrician,Fans,Location 3, 117.10 
13/02/2016,Plumber,Choke Up,Location 6, 705.37 
18/04/2016,Security,Security Guard,Location 1, 959.82 
01/04/2016,Electrician,"Switches, Meters and Fuses",Location 1, 922.96 
23/05/2016,Appliances,Refrigerator Repair,Location 6, 8.59 
25/04/2016,Plumber,"Tap, Wash basin and Sink",Location 10, 908.92 
23/06/2016,Carpenter,Furniture Installation and assembly,Location 8, 121.80 
30/04/2016,Carpenter,Furniture Installation and assembly,Location 4, 128.97 
21/05/2016,Carpenter,Furniture Repair/replacement,Location 9, 127.39 
17/05/2016,Plumber,Water Tank,Location 9, 49.72 
10/05/2016,Carpenter,Bolt And Latch,Location 4, 128.56 
12/05/2016,Transportation,Car,Location 2, 521.33 
18/04/2016,Plumber,Choke Up,Location 2, 447.57 
02/04/2016,Pest Control,Cockroach Control,Location 10, 4.26 
12/05/2016,Records Management,Secure Document Destruction,Location 3, 239.01 
24/02/2016,Painter,Regular Painting,Location 8, 749.79 
01/02/2016,Carpenter,Bolt And Latch,Location 6, 735.03 
31/01/2016,Plumber,Bathroom Fittings,Location 3, 470.63 
17/04/2016,Electrician,Fancy Lights,Location 1, 990.41 
14/06/2016,Caterer/Cook,Catering,Location 1, 625.86 
28/04/2016,Plumber,Choke Up,Location 6, 212.27 
21/06/2016,Plumber,Choke Up,Location 6, 904.10 
21/06/2016,Carpenter,General Carpentry Work,Location 8, 45.75 
04/07/2016,Carpenter,Bolt And Latch,Location 7, 806.49 
25/02/2016,Courier,Courier Services,Location 2, 947.39 
05/02/2016,Records Management,Digital Imaging,Location 10, 333.23 
04/03/2016,Appliances,Dishwasher,Location 1, 646.57 
30/06/2016,Records Management,Secure Document Destruction,Location 3, 989.78 
21/04/2016,Plumber,Pipelines And Pumps,Location 6, 308.09 
04/06/2016,Records Management,Media Management,Location 2, 348.63 
14/05/2016,Pest Control,Wood Borer Control,Location 8, 323.86 
10/04/2016,Plumber,Leakage,Location 9, 272.65 
09/05/2016,Electronics,Computer,Location 4, 853.47 
19/06/2016,Electronics,Computer,Location 2, 363.37 
12/03/2016,Cleaning,Furniture and Furnishings,Location 1, 816.82 
06/02/2016,Security Systems,CCTV,Location 9, 64.33 
16/04/2016,Pest Control,Rat Control,Location 8, 81.01 
28/03/2016,Appliances,Air Conditioner (AC) Repair and Maintenance,Location 7, 352.03 
07/07/2016,Waste Management,Disposal,Location 1, 826.74 
19/04/2016,Plumber,Pipelines And Pumps,Location 7, 527.39 
29/01/2016,Electronics,TV,Location 1, 956.16 
13/06/2016,Industrial,Elevator,Location 9, 496.44 
22/02/2016,Plumber,Bathroom Fittings,Location 1, 53.99 
22/03/2016,Electronics,Computer,Location 8, 175.24 
25/03/2016,Plumber,Bathroom Fittings,Location 1, 302.83 
07/07/2016,Plumber,Leakage,Location 5, 583.52 
19/04/2016,Carpenter,Furniture Repair/replacement,Location 2, 681.50 
07/05/2016,Appliances,Refrigerator Repair,Location 9, 668.17 
24/01/2016,Electrician,"Switches, Meters and Fuses",Location 7, 807.65 
23/05/2016,Pest Control,Honey Bee Control,Location 7, 130.25 
30/05/2016,Plumber,Choke Up,Location 10, 618.39 
24/06/2016,Appliances,Air Conditioner (AC) Repair and Maintenance,Location 6, 648.16 
05/02/2016,Carpenter,General Carpentry Work,Location 1, 745.56 
08/04/2016,Plumber,Choke Up,Location 4, 694.80 
26/05/2016,Electronics,Computer,Location 7, 374.09 
26/06/2016,Electrician,"Switches, Meters and Fuses",Location 5, 957.36 
17/05/2016,Carpenter,Furniture Repair/replacement,Location 4, 267.78 
03/07/2016,Painter,Regular Painting,Location 6, 482.43 
06/03/2016,Electronics,Computer,Location 4, 331.38 
